pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
224	wt	0	-1	0	synonymous	0	0	0	0
224	wt	0	-1	0	nonsynonymous	0	0	0	0
224	wt	0	-1	0	nonsense	0	0	0	0
224	wt	0	-1	0	noncoding	0	0	0	0
224	wt	0	-1	0	pseudogene	0	0	0	0
224	wt	0	-1	0	intergenic	0	0	0	0
224	wt	0	-1	0	indel	0	0	0	0
224	wt	0	-1	0	sv	0	0	0	0
301	wt	9	0	0	synonymous	158	837	20	81
301	wt	9	0	0	nonsynonymous	284	837	19	81
301	wt	9	0	0	nonsense	9	837	0	81
301	wt	9	0	0	noncoding	14	837	0	81
301	wt	9	0	0	pseudogene	70	837	11	81
301	wt	9	0	0	intergenic	242	837	7	81
301	wt	9	0	0	indel	35	837	9	81
301	wt	9	0	0	sv	25	837	15	81
302	del_mutL_srlD	9	1	9239	synonymous	1197	4525	335	1269
302	del_mutL_srlD	9	1	9239	nonsynonymous	2052	4525	599	1269
302	del_mutL_srlD	9	1	9239	nonsense	46	4525	9	1269
302	del_mutL_srlD	9	1	9239	noncoding	26	4525	4	1269
302	del_mutL_srlD	9	1	9239	pseudogene	305	4525	53	1269
302	del_mutL_srlD	9	1	9239	intergenic	650	4525	145	1269
302	del_mutL_srlD	9	1	9239	indel	234	4525	121	1269
302	del_mutL_srlD	9	1	9239	sv	15	4525	3	1269
303	del_araBAD	9	1	16169	synonymous	244	1293	25	82
303	del_araBAD	9	1	16169	nonsynonymous	342	1293	21	82
303	del_araBAD	9	1	16169	nonsense	32	1293	1	82
303	del_araBAD	9	1	16169	noncoding	27	1293	0	82
303	del_araBAD	9	1	16169	pseudogene	221	1293	12	82
303	del_araBAD	9	1	16169	intergenic	348	1293	4	82
303	del_araBAD	9	1	16169	indel	42	1293	4	82
303	del_araBAD	9	1	16169	sv	37	1293	15	82
304	del_mutL	8	0	0	synonymous	1292	4478	527	1855
304	del_mutL	8	0	0	nonsynonymous	2207	4478	969	1855
304	del_mutL	8	0	0	nonsense	25	4478	4	1855
304	del_mutL	8	0	0	noncoding	14	4478	1	1855
304	del_mutL	8	0	0	pseudogene	203	4478	54	1855
304	del_mutL	8	0	0	intergenic	502	4478	191	1855
304	del_mutL	8	0	0	indel	220	4478	104	1855
304	del_mutL	8	0	0	sv	15	4478	5	1855
305	del_srlD	6	0	0	synonymous	156	810	47	182
305	del_srlD	6	0	0	nonsynonymous	194	810	36	182
305	del_srlD	6	0	0	nonsense	12	810	1	182
305	del_srlD	6	0	0	noncoding	19	810	5	182
305	del_srlD	6	0	0	pseudogene	196	810	53	182
305	del_srlD	6	0	0	intergenic	180	810	26	182
305	del_srlD	6	0	0	indel	23	810	2	182
305	del_srlD	6	0	0	sv	30	810	12	182
306	del_mutL_araBAD	9	0	0	synonymous	1852	6986	754	2623
306	del_mutL_araBAD	9	0	0	nonsynonymous	3514	6986	1367	2623
306	del_mutL_araBAD	9	0	0	nonsense	63	6986	20	2623
306	del_mutL_araBAD	9	0	0	noncoding	41	6986	12	2623
306	del_mutL_araBAD	9	0	0	pseudogene	287	6986	96	2623
306	del_mutL_araBAD	9	0	0	intergenic	859	6986	287	2623
306	del_mutL_araBAD	9	0	0	indel	349	6986	79	2623
306	del_mutL_araBAD	9	0	0	sv	21	6986	8	2623
307	del_mutL_srlD	2	-1	0	synonymous	252	961	0	0
307	del_mutL_srlD	2	-1	0	nonsynonymous	472	961	0	0
307	del_mutL_srlD	2	-1	0	nonsense	4	961	0	0
307	del_mutL_srlD	2	-1	0	noncoding	6	961	0	0
307	del_mutL_srlD	2	-1	0	pseudogene	100	961	0	0
307	del_mutL_srlD	2	-1	0	intergenic	97	961	0	0
307	del_mutL_srlD	2	-1	0	indel	26	961	0	0
307	del_mutL_srlD	2	-1	0	sv	4	961	0	0
308	del_araBAD	9	1	9240	synonymous	150	805	5	49
308	del_araBAD	9	1	9240	nonsynonymous	257	805	14	49
308	del_araBAD	9	1	9240	nonsense	12	805	0	49
308	del_araBAD	9	1	9240	noncoding	19	805	0	49
308	del_araBAD	9	1	9240	pseudogene	87	805	1	49
308	del_araBAD	9	1	9240	intergenic	189	805	11	49
308	del_araBAD	9	1	9240	indel	63	805	5	49
